16110,03/08/2019 19:28,Tandoori Chicken Masala,1,8.95,8
16109,03/08/2019 19:26,Plain Papadum,4,0.8,7
16109,03/08/2019 19:26,Red Sauce,2,0.5,7
16109,03/08/2019 19:26,Chicken Tikka Masala,1,8.95,7
16109,03/08/2019 19:26,Madras - Chicken Tikka,1,7.95,7
16109,03/08/2019 19:26,Mushroom Rice,2,3.95,7
16109,03/08/2019 19:26,Garlic Naan,1,2.95,7
16109,03/08/2019 19:26,Bombay Aloo,1,5.95,7
16108,03/08/2019 19:25,Onion Bhajee,1,3.95,15
16108,03/08/2019 19:25,Sheek Kebab,1,4.95,15
16108,03/08/2019 19:25,Plain Papadum,8,0.8,15
16108,03/08/2019 19:25,Mango Chutney,2,0.5,15
16108,03/08/2019 19:25,Mint Sauce,2,0.5,15
16108,03/08/2019 19:25,Onion Chutney,1,0.5,15
16108,03/08/2019 19:25,Chicken Tikka (Main),1,8.95,15
16108,03/08/2019 19:25,Korma - Chicken,1,8.95,15
16108,03/08/2019 19:25,Chicken Tikka Masala,1,8.95,15
16108,03/08/2019 19:25,Plain Rice,1,2.95,15
16108,03/08/2019 19:25,Pilau Rice,1,2.95,15
16108,03/08/2019 19:25,Keema Naan,2,2.95,15
16108,03/08/2019 19:25,French Fries,1,3.95,15
16108,03/08/2019 19:25,Chicken Biryani,1,9.95,15
16108,03/08/2019 19:25,Mushroom Rice,1,3.95,15
16107,03/08/2019 19:16,Onion Bhajee,1,3.95,4
16107,03/08/2019 19:16,Korma - Chicken,1,8.95,4
16107,03/08/2019 19:16,Peshwari Naan,1,2.95,4
16107,03/08/2019 19:16,Pilau Rice,1,2.95,4
16106,03/08/2019 18:37,Chicken Tikka (Main),1,8.95,3
16106,03/08/2019 18:37,Chicken Tikka Masala,1,8.95,3
16106,03/08/2019 18:37,Meat Samosa,1,3.95,3
16105,03/08/2019 18:36,Plain Papadum,2,0.8,9
16105,03/08/2019 18:36,Mango Chutney,1,0.5,9
16105,03/08/2019 18:36,Mint Sauce,1,0.5,9
16105,03/08/2019 18:36,Red Sauce,1,0.5,9
16105,03/08/2019 18:36,Keema Rice,1,3.95,9
16105,03/08/2019 18:36,Keema Naan,1,2.95,9
16105,03/08/2019 18:36,Chicken Chilli Garlic,1,9.95,9
16105,03/08/2019 18:36,Lamb Hari Mirch,1,9.95,9
16105,03/08/2019 18:36,Mushroom Bhajee,1,5.95,9
16104,03/08/2019 18:36,Curry - Chicken,1,7.95,4
16104,03/08/2019 18:36,Bombay Aloo,1,5.95,4
16104,03/08/2019 18:36,Plain Naan,1,2.6,4
16104,03/08/2019 18:36,Vegetable Rice,1,3.95,4
16103,03/08/2019 18:34,Chicken Tikka Biryani,1,10.95,2
16103,03/08/2019 18:34,Mixed Starter,1,5.95,2
16102,03/08/2019 18:32,Onion Bhajee,1,3.95,4
16102,03/08/2019 18:32,Chicken Tikka Biryani,1,10.95,4
16102,03/08/2019 18:32,Bhuna - Chicken Tikka,1,8.95,4
16102,03/08/2019 18:32,Mushroom Rice,1,3.95,4
16101,03/08/2019 18:12,Keema Rice,1,3.95,3
16101,03/08/2019 18:12,Madras - Lamb,1,7.95,3
16101,03/08/2019 18:12,Bombay Aloo,1,5.95,3
16100,03/08/2019 18:00,Masala Sauce,1,3.95,9
16100,03/08/2019 18:00,Mushroom Rice,1,3.95,9
16100,03/08/2019 18:00,Bottle Coke,1,2.95,9
16100,03/08/2019 18:00,Peshwari Naan,1,2.95,9
16113,03/08/2019 19:42,Peshwari Naan,1,2.95,5
16113,03/08/2019 19:42,Plain Papadum,1,0.8,5
16112,03/08/2019 19:41,Plain Papadum,2,0.8,4
16112,03/08/2019 19:41,Vegetable Rice,1,3.95,4
16112,03/08/2019 19:41,Saag - Prawn,1,9.95,4
16112,03/08/2019 19:41,Tandoori Chicken Masala,1,8.95,4
16111,03/08/2019 19:29,Pilau Rice,1,2.95,4
16111,03/08/2019 19:29,Lamb Tikka Chilli Masala,1,8.95,4
16111,03/08/2019 19:29,Peshwari Naan,1,2.95,4
16111,03/08/2019 19:29,Saag Aloo,1,5.95,4
16110,03/08/2019 19:28,Aloo Gobi,1,5.95,8
16110,03/08/2019 19:28,Bhindi Bhajee,1,5.95,8
16110,03/08/2019 19:28,Saag Paneer,1,5.95,8
16110,03/08/2019 19:28,Mint Sauce,2,0.5,8
16110,03/08/2019 19:28,Chicken Biryani,1,9.95,8
16110,03/08/2019 19:28,Garlic Naan,1,2.95,8
16110,03/08/2019 19:28,Plain Naan,1,2.6,8
